leverancier;groep;referentie;omschrijving;prijs;valuta;ean
ACME;BOOR;A-1001;Boormachine 500W;149,50;EUR;5411234500017
ACME;BOOR;A-1002;Boormachine 750W;onleesbaar;EUR;5411234500024
ACME;BOOR;A-1003;Klopboormachine 900W;229,95;EUR;5411234500031
ACME;SLIJP;A-2001;Haakse slijper 125mm;89,90;EUR;5411234500048
ACME;SLIJP;A-2002;Haakse slijper 230mm;134,50;EUR;5411234500055
ACME;;A-2003;Slijpschijf 125mm set;12,75;EUR;5411234500062
ACME;ZAAG;A-3001;Cirkelzaag 190mm;179,00;EUR;5411234500079
ACME;ZAAG;A-3002;Decoupeerzaag 650W;99,95;EUR;5411234500086
ACME;MEET;A-4001;Laserafstandsmeter 50m;74,50;EUR;5411234500093
ACME;MEET;A-4002;Waterpas 60cm;24,95;EUR;5411234500109
